Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Lehigh,10/11/2020,13,27.3,6017,369318,3.5,7.4,1629.2,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Montgomery,12/31/2020,452,406.9,36691,830915,54.4,49,4415.7,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Adams,02/13/2021,25,26.3,7023,103009,24.3,25.5,6817.9,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Sullivan,02/23/2021,0,0.4,310,6066,0,7.1,5110.5,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Sullivan,02/09/2021,0,1.3,292,6066,0,21.2,4813.7,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Crawford,03/20/2021,6,8.7,6622,84629,7.1,10.3,7824.7,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Pennsylvania,01/13/2021,6463,7850.6,750997,12801989,50.5,61.3,5866.3,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Mifflin,03/11/2021,4,5.7,4681,46138,8.7,12.4,10145.7,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Columbia,04/06/2021,14,13,5033,64964,21.6,20,7747.4,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Northampton,11/05/2020,97,65.3,5993,305285,31.8,21.4,1963.1,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Lancaster,07/16/2020,34,29,4987,545724,6.2,5.3,913.8,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Bedford,07/17/2020,2,1.1,102,47888,4.2,2.4,213,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Mifflin,03/12/2021,10,6.3,4691,46138,21.7,13.6,10167.3,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Snyder,01/14/2021,14,26.1,2371,40372,34.7,64.8,5872.9,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Erie,02/09/2021,23,62.7,16221,269728,8.5,23.3,6013.8,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Columbia,03/23/2021,18,11.6,4862,64964,27.7,17.8,7484.1,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Columbia,10/15/2020,2,3.4,1024,64964,3.1,5.3,1576.3,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Sullivan,04/11/2021,0,2.1,365,6066,0,35.3,6017.1,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Monroe,03/10/2021,52,43.9,10179,170271,30.5,25.8,5978.1,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Juniata,04/27/2021,6,4.9,2055,24763,24.2,19.6,8298.7,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Crawford,02/26/2021,9,12.7,6395,84629,10.6,15,7556.5,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Lancaster,01/13/2021,307,378.3,33028,545724,56.3,69.3,6052.1,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Venango,04/12/2021,2,5.4,3617,50668,3.9,10.7,7138.6,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Dauphin,12/26/2020,170,172.1,13381,278299,61.1,61.9,4808.1,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Venango,02/01/2021,14,15.1,3167,50668,27.6,29.9,6250.5,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Columbia,04/16/2021,19,19.4,5222,64964,29.2,29.9,8038.3,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Washington,01/20/2021,104,103.3,11793,206865,50.3,49.9,5700.8,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Erie,10/06/2020,23,17.1,1716,269728,8.5,6.4,636.2,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Mercer,04/11/2021,13,22.3,8757,109424,11.9,20.4,8002.8,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Lebanon,10/27/2020,74,50.6,3043,141793,52.2,35.7,2146.1,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Lackawanna,12/16/2020,161,112.6,7112,209674,76.8,53.7,3391.9,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Delaware,12/23/2020,322,282.1,27623,566747,56.8,49.8,4874,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Chester,03/24/2021,119,125.6,33077,524989,22.7,23.9,6300.5,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Erie,12/20/2020,166,216.7,10142,269728,61.5,80.3,3760.1,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Columbia,11/04/2020,13,6.6,1116,64964,20,10.1,1717.9,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
York,01/07/2021,384,305.9,25778,449058,85.5,68.1,5740.5,42133,-76.72576052,39.92192531,POINT (-76.72576052 39.92192531)
Fayette,10/11/2020,3,6.4,885,129274,2.3,5,684.6,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Washington,11/21/2020,58,106.1,3786,206865,28,51.3,1830.2,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Bucks,04/20/2021,295,259.7,56661,628270,47,41.3,9018.6,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Clarion,03/10/2021,5,4.4,2740,38438,13,11.5,7128.4,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Columbia,10/04/2020,10,9.9,975,64964,15.4,15.2,1500.8,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Northampton,01/19/2021,203,196.4,21273,305285,66.5,64.3,6968.2,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Venango,07/06/2020,0,0.9,27,50668,0,1.7,53.3,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Sullivan,12/10/2020,4,4.1,106,6066,65.9,68.3,1747.4,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Adams,02/08/2021,29,31.9,6883,103009,28.2,30.9,6681.9,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Clearfield,01/27/2021,42,29.6,5520,79255,53,37.3,6964.9,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Mifflin,03/28/2021,5,10.1,4798,46138,10.8,22,10399.2,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Washington,04/01/2021,109,68.3,15277,206865,52.7,33,7385,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Dauphin,12/19/2020,147,201.6,12176,278299,52.8,72.4,4375.2,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Snyder,04/15/2021,10,10.1,3426,40372,24.8,25.1,8486.1,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Dauphin,11/26/2020,142,117.9,7507,278299,51,42.3,2697.5,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Dauphin,03/18/2021,48,43.9,21609,278299,17.2,15.8,7764.7,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Adams,01/15/2021,58,74,5812,103009,56.3,71.8,5642.2,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Columbia,04/07/2021,22,14.4,5055,64964,33.9,22.2,7781.2,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Pennsylvania,06/24/2020,591,503.3,84117,12801989,4.6,3.9,657.1,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Clinton,04/04/2021,10,15.3,3177,38632,25.9,39.6,8223.8,42035,-77.6428376,41.23286274,POINT (-77.6428376 41.23286274)
Luzerne,10/28/2020,68,68.4,5463,317417,21.4,21.6,1721.1,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Columbia,11/08/2020,13,8.1,1152,64964,20,12.5,1773.3,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Pike,02/02/2021,7,15.6,2201,55809,12.5,27.9,3943.8,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Bedford,08/05/2020,3,1.4,138,47888,6.3,3,288.2,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Indiana,01/29/2021,19,15.7,4759,84073,22.6,18.7,5660.6,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Sullivan,04/24/2021,2,2.3,391,6066,33,37.7,6445.8,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Montgomery,01/28/2021,881,389.9,47972,830915,106,46.9,5773.4,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Mifflin,12/11/2020,20,66.9,2665,46138,43.3,144.9,5776.1,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Montgomery,11/27/2020,411,318.3,21600,830915,49.5,38.3,2599.5,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Clarion,02/01/2021,18,12.7,2517,38438,46.8,33.1,6548.2,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Adams,03/09/2021,23,21.9,7540,103009,22.3,21.2,7319.7,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Pike,03/25/2021,32,24.3,3048,55809,57.3,43.5,5461.5,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Bucks,04/18/2021,144,280.1,56088,628270,22.9,44.6,8927.4,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Venango,08/05/2020,3,0.9,69,50668,5.9,1.7,136.2,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Sullivan,02/13/2021,2,2,304,6066,33,33,5011.5,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Lancaster,06/14/2020,27,39.1,3780,545724,4.9,7.2,692.7,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Juniata,04/09/2021,4,3.6,1972,24763,16.2,14.4,7963.5,42067,-77.405775,40.53433008,POINT (-77.405775 40.53433008)
Lehigh,04/13/2021,140,150.9,36174,369318,37.9,40.8,9794.8,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Crawford,01/27/2021,23,26.1,5896,84629,27.2,30.9,6966.9,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Lancaster,12/28/2020,321,307.4,27315,545724,58.8,56.3,5005.3,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Luzerne,12/22/2020,278,261,15796,317417,87.6,82.2,4976.4,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Mercer,02/03/2021,29,27.6,7660,109424,26.5,25.2,7000.3,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Chester,04/11/2021,126,158,36190,524989,24,30.1,6893.5,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Fayette,02/06/2021,37,36.7,9770,129274,28.6,28.4,7557.6,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Pennsylvania,05/09/2020,1373,1060,56962,12801989,10.7,8.3,444.9,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Westmoreland,01/22/2021,133,130.3,24030,348899,38.1,37.3,6887.4,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Indiana,03/07/2021,2,5.4,5125,84073,2.4,6.5,6095.9,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Sullivan,04/18/2021,2,1.7,377,6066,33,28.3,6215,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Clearfield,02/04/2021,15,31.9,5777,79255,18.9,40.2,7289.1,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Clearfield,10/05/2020,4,3.1,377,79255,5,4,475.7,42033,-78.47558343,41.000429,POINT (-78.47558343 41.000429)
Dauphin,12/13/2020,199,235.1,10964,278299,71.5,84.5,3939.6,42043,-76.77960568,40.41974636,POINT (-76.77960568 40.41974636)
Montgomery,04/14/2021,300,302.9,64139,830915,36.1,36.4,7719.1,42091,-75.37252001,40.20989874,POINT (-75.37252001 40.20989874)
Sullivan,12/27/2020,0,2,141,6066,0,33,2324.4,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Washington,03/10/2021,28,31.9,14085,206865,13.5,15.4,6808.8,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Snyder,04/01/2021,7,5,3309,40372,17.3,12.4,8196.3,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Columbia,10/10/2020,4,6.6,1011,64964,6.2,10.1,1556.2,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Lancaster,01/24/2021,173,267.9,36118,545724,31.7,49.1,6618.4,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Chester,12/05/2020,269,254,14028,524989,51.2,48.4,2672.1,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Sullivan,03/27/2021,0,0.4,340,6066,0,7.1,5605,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Centre,12/27/2020,23,63.3,8858,162385,14.2,39,5454.9,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Forest,04/26/2021,1,0.4,1404,7247,13.8,5.9,19373.5,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
Northampton,09/10/2020,17,10.3,4258,305285,5.6,3.4,1394.8,42095,-75.31263726,40.7545954,POINT (-75.31263726 40.7545954)
Snyder,02/01/2021,11,18.7,2684,40372,27.2,46.4,6648.2,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Chester,10/27/2020,49,51.1,8145,524989,9.3,9.7,1551.5,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Snyder,02/28/2021,6,7.4,3126,40372,14.9,18.4,7743,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Sullivan,02/08/2021,1,1.3,292,6066,16.5,21.2,4813.7,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Crawford,03/04/2021,13,12.9,6476,84629,15.4,15.2,7652.2,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Snyder,01/30/2021,9,17.6,2663,40372,22.3,43.5,6596.2,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Beaver,04/15/2021,62,64.9,14141,163929,37.8,39.6,8626.3,42007,-80.35107356,40.68349245,POINT (-80.35107356 40.68349245)
Luzerne,01/21/2021,179,151.4,21431,317417,56.4,47.7,6751.7,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Erie,01/14/2021,131,150.6,13877,269728,48.6,55.8,5144.8,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Crawford,01/17/2021,33,32.7,5648,84629,39,38.7,6673.8,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Chester,10/25/2020,64,46.3,8035,524989,12.2,8.8,1530.5,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Sullivan,04/21/2021,3,2.3,385,6066,49.5,37.7,6346.9,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Columbia,08/16/2020,1,2.1,497,64964,1.5,3.3,765,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Northumberland,01/17/2021,26,55.4,6276,90843,28.6,61,6908.6,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Union,04/17/2021,24,22.1,5735,44923,53.4,49.3,12766.3,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Venango,06/06/2020,0,0.4,15,50668,0,0.8,29.6,42121,-79.76286561,41.40341259,POINT (-79.76286561 41.40341259)
Sullivan,11/27/2020,3,2.3,61,6066,49.5,37.7,1005.6,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Lebanon,01/04/2021,153,111,9391,141793,107.9,78.3,6623,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Butler,10/26/2020,37,33.1,1692,187853,19.7,17.6,900.7,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Luzerne,04/10/2021,93,108.6,28320,317417,29.3,34.2,8922,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Butler,01/12/2021,160,142.7,11257,187853,85.2,76,5992.5,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Washington,04/02/2021,80,70.6,15357,206865,38.7,34.1,7423.7,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Lancaster,08/09/2020,50,42,5990,545724,9.2,7.7,1097.6,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Wyoming,04/26/2021,6,9.1,1803,26794,22.4,34.1,6729.1,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Luzerne,01/06/2021,262,194.3,18745,317417,82.5,61.2,5905.5,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Pennsylvania,07/16/2020,1039,811.3,100082,12801989,8.1,6.3,781.8,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Lackawanna,12/25/2020,162,130.1,8285,209674,77.3,62.1,3951.4,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Fayette,10/09/2020,4,5.6,875,129274,3.1,4.3,676.9,42051,-79.65189635,39.9194478,POINT (-79.65189635 39.9194478)
Clarion,03/21/2021,0,4.1,2785,38438,0,10.8,7245.4,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Clarion,04/16/2021,20,8.6,2960,38438,52,22.3,7700.7,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Mifflin,11/02/2020,18,15.1,497,46138,39,32.8,1077.2,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Allegheny,02/11/2021,266,272.3,72642,1216045,21.9,22.4,5973.6,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Tioga,01/14/2021,3,11.9,2177,40591,7.4,29.2,5363.3,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Washington,09/28/2020,20,11.1,1370,206865,9.7,5.4,662.3,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Huntingdon,07/27/2020,1,1.9,289,45144,2.2,4.1,640.2,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Huntingdon,05/03/2021,8,10.4,4929,45144,17.7,23.1,10918.4,42061,-77.9827661,40.416105,POINT (-77.9827661 40.416105)
Sullivan,03/04/2021,0,0.6,314,6066,0,9.4,5176.4,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Bedford,03/24/2021,10,5.7,3932,47888,20.9,11.9,8210.8,42009,-78.49116474,40.00737536,POINT (-78.49116474 40.00737536)
Monroe,05/03/2021,56,59.1,14094,170271,32.9,34.7,8277.4,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Erie,11/16/2020,175,127.6,3660,269728,64.9,47.3,1356.9,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Warren,12/10/2020,34,48,730,39191,86.8,122.5,1862.7,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Butler,12/06/2020,93,131.6,5493,187853,49.5,70,2924.1,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Schuylkill,04/16/2021,64,47.7,13611,141359,45.3,33.8,9628.7,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Chester,06/04/2020,58,49.6,2980,524989,11,9.4,567.6,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
Lackawanna,09/13/2020,8,17.1,2343,209674,3.8,8.2,1117.4,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Lackawanna,09/29/2020,15,26.1,2629,209674,7.2,12.5,1253.9,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Lackawanna,04/25/2021,27,69.4,17472,209674,12.9,33.1,8332.9,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Butler,10/28/2020,50,35.6,1776,187853,26.6,18.9,945.4,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Columbia,11/03/2020,6,5.6,1103,64964,9.2,8.6,1697.9,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Monroe,12/22/2020,84,80.3,5501,170271,49.3,47.2,3230.7,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Snyder,11/23/2020,17,18.3,911,40372,42.1,45.3,2256.5,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Bradford,04/30/2021,14,17,5658,60323,23.2,28.2,9379.5,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Tioga,02/05/2021,12,7.6,2363,40591,29.6,18.7,5821.5,42117,-77.25788076,41.77333834,POINT (-77.25788076 41.77333834)
Columbia,12/04/2020,35,31.6,1690,64964,53.9,48.6,2601.4,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Wayne,02/25/2021,34,11.1,3053,51361,66.2,21.7,5944.2,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Blair,10/14/2020,24,15.9,965,121829,19.7,13,792.1,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Luzerne,12/06/2020,192,235.6,11498,317417,60.5,74.2,3622.4,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Monroe,12/18/2020,87,84.7,5197,170271,51.1,49.8,3052.2,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Adams,03/13/2021,21,24.6,7648,103009,20.4,23.9,7424.6,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Union,08/26/2020,0,2.9,366,44923,0,6.4,814.7,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Lackawanna,07/12/2020,3,4.6,1777,209674,1.4,2.2,847.5,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Philadelphia,02/05/2021,414,337.9,107224,1584064,26.1,21.3,6768.9,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Warren,12/27/2020,24,32.9,1386,39191,61.2,83.8,3536.5,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Pennsylvania,05/20/2020,904,813,65657,12801989,7.1,6.4,512.9,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Mercer,02/15/2021,12,20.1,7924,109424,11,18.4,7241.6,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Philadelphia,10/04/2020,108,131.7,32982,1584064,6.8,8.3,2082.1,42101,-75.140236,40.00444354,POINT (-75.140236 40.00444354)
Mifflin,11/28/2020,50,62.7,1762,46138,108.4,135.9,3819,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Adams,04/01/2021,46,37.6,8210,103009,44.7,36.5,7970.2,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Monroe,03/15/2021,76,52.6,10445,170271,44.6,30.9,6134.3,42089,-75.34083603,41.06091787,POINT (-75.34083603 41.06091787)
Cumberland,01/12/2021,137,161,12220,253370,54.1,63.5,4823,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Luzerne,03/23/2021,129,72.4,26408,317417,40.6,22.8,8319.7,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Lycoming,09/15/2020,8,5.4,615,113299,7.1,4.8,542.8,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Lancaster,07/02/2020,29,37,4543,545724,5.3,6.8,832.5,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Blair,04/01/2021,29,25.1,11259,121829,23.8,20.6,9241.6,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Schuylkill,04/26/2021,39,35.6,13952,141359,27.6,25.2,9869.9,42107,-76.22332385,40.70751243,POINT (-76.22332385 40.70751243)
Lehigh,02/15/2021,95,91.3,29899,369318,25.7,24.7,8095.7,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Butler,07/15/2020,10,8,455,187853,5.3,4.3,242.2,42019,-79.91711779,40.91083185,POINT (-79.91711779 40.91083185)
Union,11/02/2020,3,7,769,44923,6.7,15.6,1711.8,42119,-77.06415803,40.96473131,POINT (-77.06415803 40.96473131)
Columbia,03/31/2021,12,12,4954,64964,18.5,18.5,7625.8,42037,-76.4100218,41.04912086,POINT (-76.4100218 41.04912086)
Pike,04/10/2021,22,22.4,3405,55809,39.4,40.2,6101.2,42103,-75.03270924,41.332572,POINT (-75.03270924 41.332572)
Wayne,01/08/2021,24,35.1,2240,51361,46.7,68.4,4361.3,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Bradford,04/15/2021,37,35.6,5348,60323,61.3,59,8865.6,42015,-76.51825624,41.79117814,POINT (-76.51825624 41.79117814)
Blair,02/03/2021,27,40.6,10150,121829,22.2,33.3,8331.3,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Northumberland,10/15/2020,14,10.6,1350,90843,15.4,11.6,1486.1,42097,-76.71188423,40.85150926,POINT (-76.71188423 40.85150926)
Lebanon,12/25/2020,102,94.3,8309,141793,71.9,66.5,5860,42075,-76.46182575,40.367597,POINT (-76.46182575 40.367597)
Jefferson,04/24/2021,3,4.6,3184,43425,6.9,10.5,7332.2,42065,-79.00101814,41.13139091,POINT (-79.00101814 41.13139091)
Adams,03/23/2021,49,22,7862,103009,47.6,21.4,7632.3,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Mifflin,04/16/2021,16,9,4969,46138,34.7,19.5,10769.9,42087,-77.62003089,40.61274928,POINT (-77.62003089 40.61274928)
Snyder,11/27/2020,29,22.7,1025,40372,71.8,56.3,2538.9,42109,-77.07255968,40.77113737,POINT (-77.07255968 40.77113737)
Pennsylvania,06/16/2020,357,433.1,80157,12801989,2.8,3.4,626.1,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Lehigh,04/26/2021,90,114.6,37754,369318,24.4,31,10222.6,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Warren,02/14/2021,2,5,2114,39191,5.1,12.8,5394.1,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Wayne,01/23/2021,11,17.3,2573,51361,21.4,33.7,5009.6,42127,-75.3051535,41.64969805,POINT (-75.3051535 41.64969805)
Clarion,01/10/2021,6,21.6,2257,38438,15.6,56.1,5871.8,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Wyoming,02/28/2021,6,3.4,1171,26794,22.4,12.8,4370.4,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Franklin,04/28/2021,36,28.9,14627,155027,23.2,18.6,9435.1,42055,-77.72398845,39.92786197,POINT (-77.72398845 39.92786197)
Delaware,09/12/2020,25,39.3,11046,566747,4.4,6.9,1949,42045,-75.40627712,39.91657867,POINT (-75.40627712 39.91657867)
Somerset,04/06/2021,12,12.7,7056,73447,16.3,17.3,9606.9,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Adams,08/21/2020,5,3,579,103009,4.9,2.9,562.1,42001,-77.22224271,39.87209565,POINT (-77.22224271 39.87209565)
Forest,10/19/2020,0,0.1,19,7247,0,2,262.2,42053,-79.23780995,41.51357876,POINT (-79.23780995 41.51357876)
