Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Washington,10/22/2020,50,31,1824,206865,24.2,15,881.7,42125,-80.25180083,40.19109663,POINT (-80.25180083 40.19109663)
Potter,08/10/2020,0,0,21,16526,0,0,127.1,42105,-77.89879229,41.74420644,POINT (-77.89879229 41.74420644)
Somerset,12/10/2020,209,102.7,2950,73447,284.6,139.8,4016.5,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Pennsylvania,11/25/2020,8402,6801.6,339494,12801989,65.6,53.1,2651.9,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Erie,08/31/2020,8,7,1380,269728,3,2.6,511.6,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Mercer,08/30/2020,1,2.3,554,109424,0.9,2.1,506.3,42085,-80.26009411,41.30237777,POINT (-80.26009411 41.30237777)
Luzerne,08/21/2020,13,10.9,3714,317417,4.1,3.4,1170.1,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Westmoreland,07/29/2020,29,19.9,1397,348899,8.3,5.7,400.4,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Luzerne,09/15/2020,20,11.1,4020,317417,6.3,3.5,1266.5,42079,-75.9919961,41.17836439,POINT (-75.9919961 41.17836439)
Lackawanna,05/02/2021,33,48.3,17810,209674,15.7,23,8494.1,42069,-75.61218345,41.43910064,POINT (-75.61218345 41.43910064)
Pennsylvania,11/13/2020,5541,4667.4,262615,12801989,43.3,36.5,2051.4,42000,-75.167756,39.346129,POINT (-75.167756 39.346129)
Westmoreland,04/13/2021,157,142.4,31041,348899,45,40.8,8896.8,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
Somerset,10/08/2020,2,3.9,264,73447,2.7,5.3,359.4,42111,-79.03100206,39.97146299,POINT (-79.03100206 39.97146299)
Lawrence,08/04/2020,6,5.3,358,85512,7,6.2,418.7,42073,-80.33754114,40.99325035,POINT (-80.33754114 40.99325035)
Westmoreland,12/02/2020,341,234.1,10108,348899,97.7,67.1,2897.1,42129,-79.47134118,40.310315,POINT (-79.47134118 40.310315)
